카테고리,항목,내용
회사정보,회사명,퓨쳐시스템
회사정보,설립연도,2010년
회사정보,대표이사,정원규
회사정보,본사위치,서울특별시 강남구 테헤란로
회사정보,직원수,200명
회사정보,자본금,100억원
회사정보,주요사업,"VPN 솔루션, 보안 서비스, 클라우드 인프라"
회사정보,비전,안전한 네트워크 세상 구현
회사정보,미션,혁신적인 보안 기술로 고객 가치 창출
회사정보,핵심가치,"혁신, 신뢰, 고객만족"
VPN제품,VPN 솔루션 1,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 100명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 2,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 200명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 3,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 300명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 4,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 400명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 5,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 500명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 6,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 600명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 7,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 700명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 8,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 800명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 9,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 900명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 10,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1000명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 11,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1100명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 12,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1200명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 13,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1300명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 14,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1400명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 15,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1500명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 16,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1600명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 17,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1700명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 18,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1800명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 19,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 1900명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 20,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2000명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 21,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2100명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 22,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2200명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 23,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2300명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 24,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2400명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 25,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2500명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 26,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2600명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 27,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2700명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 28,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2800명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 29,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 2900명 동시 접속, AES-256 암호화"
VPN제품,VPN 솔루션 30,"기업용 VPN 솔루션 - SSL VPN, IPSec VPN 지원, 최대 3000명 동시 접속, AES-256 암호화"
보안솔루션,침입탐지 솔루션 1,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 2,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 3,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 4,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 5,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 6,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 7,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 8,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 9,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 10,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 11,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 12,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 13,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 14,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 15,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 16,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 17,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 18,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 19,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 20,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 21,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 22,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 23,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 24,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,침입탐지 솔루션 25,"침입탐지 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DDoS 방어 솔루션 26,"DDoS 방어 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,웹방화벽 솔루션 27,"웹방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,DB보안 솔루션 28,"DB보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,엔드포인트보안 솔루션 29,"엔드포인트보안 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
보안솔루션,방화벽 솔루션 30,"방화벽 전문 솔루션 - 실시간 모니터링, 자동 차단, 위협 분석 기능"
클라우드,클라우드 서비스 1,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 2,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 3,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 4,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 5,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 6,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 7,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 8,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 9,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 10,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 11,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 12,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 13,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 14,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 15,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 16,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 17,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 18,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 19,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
클라우드,클라우드 서비스 20,"프라이빗/퍼블릭/하이브리드 클라우드 지원, 자동 스케일링, 백업/복구 기능"
고객사,제조업 고객사 1,제조업 대기업 VPN 및 보안 솔루션 구축 - 2021년 계약
고객사,공공업 고객사 2,공공업 대기업 VPN 및 보안 솔루션 구축 - 2022년 계약
고객사,의료업 고객사 3,의료업 대기업 VPN 및 보안 솔루션 구축 - 2023년 계약
고객사,교육업 고객사 4,교육업 대기업 VPN 및 보안 솔루션 구축 - 2024년 계약
고객사,유통업 고객사 5,유통업 대기업 VPN 및 보안 솔루션 구축 - 2020년 계약
고객사,통신업 고객사 6,통신업 대기업 VPN 및 보안 솔루션 구축 - 2021년 계약
고객사,서비스업 고객사 7,서비스업 대기업 VPN 및 보안 솔루션 구축 - 2022년 계약
고객사,IT업 고객사 8,IT업 대기업 VPN 및 보안 솔루션 구축 - 2023년 계약
고객사,건설업 고객사 9,건설업 대기업 VPN 및 보안 솔루션 구축 - 2024년 계약
고객사,금융업 고객사 10,금융업 대기업 VPN 및 보안 솔루션 구축 - 2020년 계약
고객사,제조업 고객사 11,제조업 대기업 VPN 및 보안 솔루션 구축 - 2021년 계약
고객사,공공업 고객사 12,공공업 대기업 VPN 및 보안 솔루션 구축 - 2022년 계약
고객사,의료업 고객사 13,의료업 대기업 VPN 및 보안 솔루션 구축 - 2023년 계약
고객사,교육업 고객사 14,교육업 대기업 VPN 및 보안 솔루션 구축 - 2024년 계약
고객사,유통업 고객사 15,유통업 대기업 VPN 및 보안 솔루션 구축 - 2020년 계약
고객사,통신업 고객사 16,통신업 대기업 VPN 및 보안 솔루션 구축 - 2021년 계약
고객사,서비스업 고객사 17,서비스업 대기업 VPN 및 보안 솔루션 구축 - 2022년 계약
고객사,IT업 고객사 18,IT업 대기업 VPN 및 보안 솔루션 구축 - 2023년 계약
고객사,건설업 고객사 19,건설업 대기업 VPN 및 보안 솔루션 구축 - 2024년 계약
고객사,금융업 고객사 20,금융업 대기업 VPN 및 보안 솔루션 구축 - 2020년 계약
고객사,제조업 고객사 21,제조업 대기업 VPN 및 보안 솔루션 구축 - 2021년 계약
고객사,공공업 고객사 22,공공업 대기업 VPN 및 보안 솔루션 구축 - 2022년 계약
고객사,의료업 고객사 23,의료업 대기업 VPN 및 보안 솔루션 구축 - 2023년 계약
고객사,교육업 고객사 24,교육업 대기업 VPN 및 보안 솔루션 구축 - 2024년 계약
고객사,유통업 고객사 25,유통업 대기업 VPN 및 보안 솔루션 구축 - 2020년 계약
고객사,통신업 고객사 26,통신업 대기업 VPN 및 보안 솔루션 구축 - 2021년 계약
고객사,서비스업 고객사 27,서비스업 대기업 VPN 및 보안 솔루션 구축 - 2022년 계약
고객사,IT업 고객사 28,IT업 대기업 VPN 및 보안 솔루션 구축 - 2023년 계약
고객사,건설업 고객사 29,건설업 대기업 VPN 및 보안 솔루션 구축 - 2024년 계약
고객사,금융업 고객사 30,금융업 대기업 VPN 및 보안 솔루션 구축 - 2020년 계약
인증,ISO 27001,정보보안 관리체계 국제 인증
인증,ISO 9001,품질경영시스템 인증
인증,GS 인증,우수 소프트웨어 인증
인증,CC 인증,국제 공통평가기준 인증
인증,ISMS,정보보호 관리체계 인증
인증,특허 1,VPN 암호화 기술 특허
인증,특허 2,네트워크 보안 특허
인증,특허 3,클라우드 보안 특허
인증,특허 4,AI 기반 위협 탐지 특허
인증,특허 5,제로트러스트 보안 특허
인증,벤처기업 인증,기술혁신형 벤처기업
인증,이노비즈 인증,기술혁신 중소기업
인증,메인비즈 인증,경영혁신 중소기업
인증,PCI-DSS,결제카드 보안 표준
인증,GDPR 준수,EU 개인정보보호 규정 준수
인증,SOC 2,서비스 조직 통제 인증
인증,K-ISMS,한국 정보보호 관리체계
인증,AWS 파트너,AWS 공인 파트너
인증,Azure 파트너,Microsoft Azure 파트너
인증,GCP 파트너,Google Cloud 파트너
프로젝트,2016년 프로젝트 1,"대기업 VPN 인프라 구축 프로젝트 - 10억원 규모, 3개월 소요"
프로젝트,2017년 프로젝트 2,"대기업 VPN 인프라 구축 프로젝트 - 20억원 규모, 6개월 소요"
프로젝트,2018년 프로젝트 3,"대기업 VPN 인프라 구축 프로젝트 - 30억원 규모, 9개월 소요"
프로젝트,2019년 프로젝트 4,"대기업 VPN 인프라 구축 프로젝트 - 40억원 규모, 12개월 소요"
프로젝트,2020년 프로젝트 5,"대기업 VPN 인프라 구축 프로젝트 - 50억원 규모, 15개월 소요"
프로젝트,2021년 프로젝트 6,"대기업 VPN 인프라 구축 프로젝트 - 60억원 규모, 18개월 소요"
프로젝트,2022년 프로젝트 7,"대기업 VPN 인프라 구축 프로젝트 - 70억원 규모, 21개월 소요"
프로젝트,2023년 프로젝트 8,"대기업 VPN 인프라 구축 프로젝트 - 80억원 규모, 24개월 소요"
프로젝트,2024년 프로젝트 9,"대기업 VPN 인프라 구축 프로젝트 - 90억원 규모, 27개월 소요"
프로젝트,2015년 프로젝트 10,"대기업 VPN 인프라 구축 프로젝트 - 100억원 규모, 30개월 소요"
프로젝트,2016년 프로젝트 11,"대기업 VPN 인프라 구축 프로젝트 - 110억원 규모, 33개월 소요"
프로젝트,2017년 프로젝트 12,"대기업 VPN 인프라 구축 프로젝트 - 120억원 규모, 36개월 소요"
프로젝트,2018년 프로젝트 13,"대기업 VPN 인프라 구축 프로젝트 - 130억원 규모, 39개월 소요"
프로젝트,2019년 프로젝트 14,"대기업 VPN 인프라 구축 프로젝트 - 140억원 규모, 42개월 소요"
프로젝트,2020년 프로젝트 15,"대기업 VPN 인프라 구축 프로젝트 - 150억원 규모, 45개월 소요"
프로젝트,2021년 프로젝트 16,"대기업 VPN 인프라 구축 프로젝트 - 160억원 규모, 48개월 소요"
프로젝트,2022년 프로젝트 17,"대기업 VPN 인프라 구축 프로젝트 - 170억원 규모, 51개월 소요"
프로젝트,2023년 프로젝트 18,"대기업 VPN 인프라 구축 프로젝트 - 180억원 규모, 54개월 소요"
프로젝트,2024년 프로젝트 19,"대기업 VPN 인프라 구축 프로젝트 - 190억원 규모, 57개월 소요"
프로젝트,2015년 프로젝트 20,"대기업 VPN 인프라 구축 프로젝트 - 200억원 규모, 60개월 소요"
프로젝트,2016년 프로젝트 21,"대기업 VPN 인프라 구축 프로젝트 - 210억원 규모, 63개월 소요"
프로젝트,2017년 프로젝트 22,"대기업 VPN 인프라 구축 프로젝트 - 220억원 규모, 66개월 소요"
프로젝트,2018년 프로젝트 23,"대기업 VPN 인프라 구축 프로젝트 - 230억원 규모, 69개월 소요"
프로젝트,2019년 프로젝트 24,"대기업 VPN 인프라 구축 프로젝트 - 240억원 규모, 72개월 소요"
프로젝트,2020년 프로젝트 25,"대기업 VPN 인프라 구축 프로젝트 - 250억원 규모, 75개월 소요"
프로젝트,2021년 프로젝트 26,"대기업 VPN 인프라 구축 프로젝트 - 260억원 규모, 78개월 소요"
프로젝트,2022년 프로젝트 27,"대기업 VPN 인프라 구축 프로젝트 - 270억원 규모, 81개월 소요"
프로젝트,2023년 프로젝트 28,"대기업 VPN 인프라 구축 프로젝트 - 280억원 규모, 84개월 소요"
프로젝트,2024년 프로젝트 29,"대기업 VPN 인프라 구축 프로젝트 - 290억원 규모, 87개월 소요"
프로젝트,2015년 프로젝트 30,"대기업 VPN 인프라 구축 프로젝트 - 300억원 규모, 90개월 소요"
기술,VPN 프로토콜,"OpenVPN, IPSec, SSL/TLS, WireGuard"
기술,암호화,"AES-256, RSA-4096, SHA-256"
기술,인증,"LDAP, Active Directory, RADIUS, SAML 2.0"
기술,방화벽,"Next-Gen Firewall, WAF, Network Firewall"
기술,IDS/IPS,"Snort, Suricata 기반 침입탐지/차단"
기술,SIEM,실시간 보안 이벤트 모니터링
기술,DLP,데이터 유출 방지 솔루션
기술,EDR,엔드포인트 위협 탐지 및 대응
기술,Zero Trust,제로트러스트 보안 아키텍처
기술,AI 보안,머신러닝 기반 위협 분석
기술,클라우드,"AWS, Azure, GCP, 멀티클라우드"
기술,컨테이너,"Docker, Kubernetes 보안"
기술,DevSecOps,CI/CD 파이프라인 보안
기술,API 보안,"API Gateway, OAuth 2.0"
기술,모바일 보안,"MDM, MAM, 앱 보안"
기술,IoT 보안,IoT 디바이스 인증 및 암호화
기술,블록체인,블록체인 기반 인증 시스템
기술,양자암호,차세대 양자암호 기술 연구
기술,5G 보안,5G 네트워크 보안 솔루션
기술,SD-WAN,소프트웨어 정의 WAN 보안
수상,2016년 수상,2016년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2017년 수상,2017년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2018년 수상,2018년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2019년 수상,2019년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2020년 수상,2020년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2021년 수상,2021년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2022년 수상,2022년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2023년 수상,2023년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2024년 수상,2024년 대한민국 보안 대상 수상 - VPN 부문 최우수상
수상,2025년 수상,2025년 대한민국 보안 대상 수상 - VPN 부문 최우수상
